stockId,product,manager,asset,finance,investment,speculation,main,mainInvestment,mainSpeculation,total
1101.0,5,4,4,2,4,5,9,19,20,24
1102.0,6,6,6,3,9,6,15,30,27,36
1103.0,0,2,3,2,2,3,5,9,10,12
1104.0,7,5,6,6,10,5,15,34,29,39
1108.0,7,3,3,3,10,8,18,26,24,34
1109.0,8,5,7,9,10,8,18,39,37,47
1110.0,1,1,1,5,3,3,6,11,11,14
1201.0,2,3,3,3,2,10,12,13,21,23
1203.0,7,5,6,4,4,5,9,26,27,31
1210.0,4,6,5,7,8,10,18,30,32,40
1213.0,0,0,0,1,0,4,4,1,5,5
1215.0,6,9,7,2,9,8,17,33,32,41
1216.0,4,7,5,1,6,9,15,23,26,32
1217.0,3,1,1,2,3,8,11,10,15,18
1218.0,0,6,6,9,10,9,19,31,30,40
1219.0,2,3,3,3,5,10,15,16,21,26
1220.0,3,3,4,6,4,9,13,20,25,29
1225.0,2,5,5,3,3,9,12,18,24,27
1227.0,3,6,7,9,4,8,12,29,33,37
1229.0,7,5,8,7,5,2,7,32,29,34
1231.0,5,9,7,2,4,6,10,27,29,33
1232.0,4,10,10,4,6,8,14,34,36,42
1233.0,4,3,4,4,4,7,11,19,22,26
1234.0,5,4,4,5,7,7,14,25,25,32
1235.0,0,2,4,5,2,1,3,13,12,14
1236.0,1,1,1,4,3,8,11,10,15,18
1240.0,3,6,6,9,7,10,17,31,34,41
1256.0,8,8,9,9,7,6,13,41,40,47
1258.0,6,0,0,1,1,1,2,8,8,9
1259.0,1,5,5,2,9,10,19,22,23,32
1262.0,0,0,0,10,1,1,2,11,11,12
1264.0,9,9,10,9,7,6,13,44,43,50
1268.0,6,6,5,1,7,7,14,25,25,32
1301.0,0,5,6,4,2,5,7,17,20,22
1303.0,1,4,5,3,2,6,8,15,19,21
1304.0,3,2,2,3,4,10,14,14,20,24
1305.0,3,4,5,2,3,9,12,17,23,26
1307.0,6,3,3,3,8,8,16,23,23,31
1308.0,8,5,7,7,5,6,11,32,33,38
1309.0,0,4,3,7,0,10,10,14,24,24
1310.0,0,0,0,8,0,9,9,8,17,17
1312.0,0,4,6,1,0,8,8,11,19,19
1313.0,0,0,0,3,0,10,10,3,13,13
1314.0,0,1,2,2,0,7,7,5,12,12
1315.0,2,3,4,9,7,4,11,25,22,29
1316.0,0,0,0,8,0,3,3,8,11,11
1319.0,8,3,3,6,6,5,11,26,25,31
1321.0,0,1,1,1,2,6,8,5,9,11
1323.0,4,6,5,1,5,9,14,21,25,30
1324.0,3,1,1,9,4,7,11,18,21,25
1325.0,0,2,3,9,2,2,4,16,16,18
1326.0,0,3,4,4,1,8,9,12,19,20
1333.0,1,0,0,9,1,1,2,11,11,12
1336.0,5,4,4,4,7,9,16,24,26,33
1337.0,0,0,0,9,0,5,5,9,14,14
1338.0,1,3,4,5,0,10,10,13,23,23
1339.0,9,3,4,5,9,5,14,30,26,35
1340.0,0,0,0,8,0,4,4,8,12,12
1341.0,7,10,9,9,9,7,16,44,42,51
1342.0,10,10,10,4,8,4,12,42,38,46
1402.0,4,3,3,1,4,10,14,15,21,25
