stockId,name,ReturnOfNetTangibleAssets_FirstQuartile,ONWR,LongDebtRatio,YoY,OperatingProfitMargin,ReturnOfEquity_FirstQuartile,GrossProfitRatio,AnnualizedReturn,SalesToPrice
1101,台泥,4,3,2,0,5,4,4,4,5
1102,亞泥,6,4,3,6,6,6,3,9,6
1103,嘉泥,3,2,2,5,0,2,2,2,2
1104,環泥,6,6,6,6,7,5,4,10,4
1108,幸福,3,10,3,8,7,3,4,10,6
1109,信大,7,3,9,8,8,5,5,10,8
1110,東泥,1,8,5,5,1,1,1,3,2
1201,味全,3,9,3,3,1,4,6,2,10
1203,味王,6,7,4,2,7,5,7,3,5
1210,大成,5,8,7,1,4,6,3,8,10
1213,大飲,0,9,1,0,0,0,0,0,7
1215,卜蜂,7,9,1,1,6,9,4,8,8
1216,統一,5,4,1,5,4,7,8,6,9
1217,愛之味,1,8,2,1,3,1,7,3,7
1218,泰山,6,6,9,3,0,6,3,10,8
1219,福壽,3,9,3,0,2,3,2,5,10
1220,台榮,4,9,6,8,3,3,2,4,9
1225,福懋油,5,9,3,3,2,5,1,3,9
1227,佳格,7,5,9,6,3,6,5,4,7
1229,聯華,8,2,7,5,7,5,5,4,2
1231,聯華食,7,9,2,2,5,9,5,4,5
1232,大統益,10,7,4,1,4,10,2,6,8
1233,天仁,4,7,4,0,4,3,10,4,6
1234,黑松,4,10,5,1,5,4,7,7,6
1235,興泰,4,8,5,10,0,2,4,1,1
1236,宏亞,1,6,4,8,1,1,7,2,8
1240,茂生農經,6,7,9,3,3,6,2,7,10
1256,鮮活果汁-KY,9,4,9,10,8,8,7,7,5
1259,安心,5,4,2,0,1,5,6,8,10
1264,德麥,10,8,9,8,9,9,8,7,5
1268,漢來美食,5,7,1,0,6,6,9,7,6
1301,台塑,6,6,4,4,0,5,1,1,5
1303,南亞,5,7,2,1,1,4,1,2,6
1304,台聚,2,6,3,2,3,2,2,3,10
1305,華夏,5,8,2,0,3,4,3,3,9
1307,三芳,3,4,3,5,6,3,6,8,8
1308,亞聚,7,5,7,5,8,5,4,5,7
1309,台達化,3,5,7,6,0,4,1,0,10
1310,台苯,0,6,8,7,0,0,0,0,9
1312,國喬,6,8,1,0,0,4,1,0,8
1313,聯成,0,4,3,9,0,0,1,0,10
1314,中石化,2,10,2,10,0,1,0,0,7
1315,達新,4,1,9,0,2,3,4,7,4
1316,上曜,0,8,8,8,0,0,4,0,6
1319,東陽,3,8,6,7,8,3,7,6,4
1321,大洋,1,8,1,1,0,1,1,2,7
1323,永裕,5,6,1,3,4,6,4,5,9
1324,地球,1,3,9,3,3,1,5,4,7
1325,恆大,3,2,9,5,0,2,1,2,2
1326,台化,4,4,4,2,0,3,1,1,8
1336,台翰,4,7,4,3,5,4,4,7,9
1337,再生-KY,0,3,9,9,0,0,0,0,4
1338,廣華-KY,4,7,5,3,1,3,5,0,10
1339,昭輝,4,8,5,7,8,3,7,8,5
1340,勝悅-KY,0,5,8,10,0,0,0,0,3
1341,富林-KY,9,8,9,7,7,10,5,9,8
1342,八貫,10,8,4,0,10,10,7,8,3
1402,遠東新,3,8,1,4,4,3,4,4,9
1409,新纖,3,7,4,5,1,4,1,3,10
1410,南染,7,3,4,3,0,4,6,2,2
1413,宏洲,0,10,1,9,0,0,0,0,10
1414,東和,2,8,4,6,0,1,1,1,2
1416,廣豐,0,1,3,8,0,0,8,6,2
1417,嘉裕,0,2,5,0,0,0,8,3,6
1418,東華,0,7,5,0,0,0,6,2,1
1419,新紡,5,2,6,0,6,4,7,6,3
1423,利華,2,1,6,7,0,1,0,4,1
1432,大魯閣,0,8,1,0,6,0,9,4,6
1434,福懋,6,2,3,0,1,3,2,3,7
1435,中福,0,3,4,0,0,0,10,0,1
1436,華友聯,3,10,2,9,6,6,10,2,5
1437,勤益控,5,6,4,1,10,5,10,10,2
1438,三地開發,0,10,1,0,6,0,4,0,2
1439,雋揚,0,7,5,0,1,0,8,6,3
1440,南紡,1,7,2,1,0,1,1,0,7
1441,大東,0,10,4,0,0,0,0,0,10
1442,名軒,2,10,4,10,10,2,9,7,2
1443,立益物流,0,10,1,7,10,0,9,6,2
1444,力麗,0,9,5,1,0,0,0,0,9
1445,大宇,0,6,7,0,2,0,3,3,5
1446,宏和,0,10,1,10,0,0,2,0,1
1447,力鵬,0,6,4,7,0,0,1,0,10
1449,佳和,0,9,1,10,0,0,3,3,10
1451,年興,0,5,7,0,0,0,0,0,10
1452,宏益,7,1,9,8,0,3,1,2,7
1453,大將,0,7,6,9,0,0,6,1,2
1454,台富,1,7,8,5,1,1,2,1,7
1455,集盛,0,9,4,9,0,0,0,0,9
1456,怡華,1,10,2,6,9,1,8,6,4
1457,宜進,2,10,1,7,4,2,1,2,7
1459,聯發,0,3,4,10,0,0,0,3,6
1460,宏遠,0,10,5,3,0,0,2,0,10
1463,強盛,4,5,7,1,0,2,1,5,2
1464,得力,1,8,2,4,0,1,3,1,10
1465,偉全,0,8,7,7,0,0,3,6,4
1466,聚隆,0,10,1,8,0,0,1,0,10
1467,南緯,0,5,2,5,0,0,4,0,10
1468,昶和,1,9,8,0,0,1,2,0,6
1470,大統新創,6,3,9,4,4,4,5,3,5
1471,首利,0,1,8,9,0,0,2,0,1
1472,三洋實業,0,2,7,10,4,0,3,4,5
1473,台南,0,5,7,0,3,0,4,9,10
1474,弘裕,3,9,3,9,0,2,2,0,10
1475,業旺,0,1,10,7,9,0,5,9,4
1476,儒鴻,10,9,10,5,9,10,7,3,3
1477,聚陽,9,9,9,3,8,10,6,5,4
1503,士電,5,9,7,4,5,5,4,4,5
1504,東元,6,2,4,2,7,4,6,7,6
1506,正道,0,3,8,0,4,0,4,3,3
1512,瑞利,0,9,1,0,0,0,5,0,6
1513,中興電,4,9,1,2,9,6,7,3,3
1514,亞力,6,9,5,4,5,7,4,3,4
1515,力山,4,5,8,10,2,5,3,1,6
1516,川飛,7,3,10,0,2,4,1,5,10
1517,利奇,1,3,7,0,0,1,1,0,9
1519,華城,4,9,5,10,9,6,7,2,1
1521,大億,3,9,7,2,3,4,3,3,9
1522,堤維西,2,10,1,4,5,3,6,9,9
1524,耿鼎,2,9,1,8,8,3,6,7,5
1525,江申,6,6,7,0,3,5,2,8,3
1526,日馳,7,9,1,0,5,8,7,9,8
1527,鑽全,7,10,10,3,7,7,5,8,6
1528,恩德,0,6,6,0,1,0,6,3,9
1529,樂事綠能,4,6,2,0,7,3,5,2,1
1530,亞崴,4,7,8,0,2,4,3,9,8
1531,高林股,0,6,7,6,0,0,3,2,8
1532,勤美,2,9,3,8,6,3,5,7,8
1533,車王電,2,7,1,0,0,2,4,0,6
1535,中宇,3,8,7,4,3,4,2,8,9
1536,和大,3,10,1,1,5,4,4,4,5
1537,廣隆,10,4,6,5,7,10,4,6,6
1538,正峰,0,1,6,0,0,0,2,0,2
1539,巨庭,2,8,4,9,3,2,2,3,9
1540,喬福,1,1,9,0,8,1,6,7,4
1541,錩泰,5,10,4,6,5,7,4,0,9
1558,伸興,6,4,5,6,4,6,6,4,8
1560,中砂,7,7,5,3,8,8,7,3,2
1565,精華,9,6,7,4,7,9,5,8,5
1568,倉佑,1,4,4,4,9,2,8,10,6
1569,濱川,2,9,7,0,0,2,2,0,9
1570,力肯,9,2,8,6,2,7,5,4,5
1580,新麥,9,5,8,8,9,9,9,9,6
1582,信錦,5,3,7,7,5,5,5,6,8
1583,程泰,4,6,5,2,6,4,5,9,7
1584,精剛,0,9,3,6,4,0,3,5,3
1586,和勤,2,9,1,9,0,2,2,0,7
1587,吉茂,3,7,4,1,2,4,5,4,9
1589,永冠-KY,0,9,1,3,1,0,4,0,9
1590,0,8,8,9,9,10,9,9,1,1
1591,駿吉-KY,5,8,8,8,0,5,0,0,4
1593,祺驊,9,4,4,5,6,9,7,5,5
1595,川寶,3,4,6,0,3,2,6,4,8
1597,直得,7,6,2,0,7,7,9,4,3
1598,岱宇,0,7,2,0,0,1,8,0,9
1599,宏佳騰,8,5,5,7,0,6,4,4,9
1603,華電,4,6,6,9,7,4,3,7,5
1604,聲寶,6,9,4,1,5,6,5,8,7
1605,華新,5,8,2,0,3,5,2,4,9
1608,華榮,2,7,6,4,3,1,1,8,7
1609,大亞,4,5,1,6,4,5,3,10,8
1611,中電,3,4,8,3,2,2,6,3,3
1612,宏泰,5,3,8,0,6,3,3,8,7
1614,三洋電,5,8,6,0,4,4,5,4,6
1615,大山,8,8,7,7,7,9,3,8,5
1616,億泰,0,10,7,4,5,0,2,8,9
1617,榮星,5,5,5,9,0,4,2,3,9
1618,合機,3,4,10,8,5,2,2,6,5
1626,艾美特-KY,0,8,8,5,1,0,5,0,10
1701,中化,4,9,4,4,2,5,8,5,9
1702,南僑,5,4,1,5,4,5,6,6,9
1707,葡萄王,9,5,9,4,9,9,10,8,5
1708,東鹼,3,9,3,2,0,3,2,0,8
1709,和益,4,7,5,2,3,4,3,6,8
1710,東聯,0,5,2,6,0,0,1,7,9
1711,永光,3,8,5,5,1,3,5,2,7
1712,興農,5,8,5,0,5,7,6,8,9
1713,國化,5,8,7,8,0,3,1,6,1
1714,和桐,2,3,4,2,3,2,2,7,10
1717,長興,5,9,1,8,3,6,4,5,9
1718,中纖,0,7,8,4,1,0,1,0,10
1720,生達,7,6,7,5,9,7,9,9,5
1721,三晃,0,9,3,3,0,0,0,0,8
1722,台肥,4,9,1,3,9,4,7,8,3
1723,中碳,8,9,5,0,9,9,6,7,4
1725,元禎,8,1,9,6,2,4,1,6,10
1726,永記,7,7,9,4,6,6,6,8,7
1727,中華化,2,10,5,0,1,2,2,4,7
1730,花仙子,9,4,9,1,7,9,9,7,7
1731,美吾華,5,9,4,8,8,4,10,6,4
1732,毛寶,3,4,7,5,0,2,8,0,4
1733,五鼎,6,8,7,6,5,5,7,5,6
1734,杏輝,0,8,2,6,5,0,8,6,5
1735,日勝化,2,9,4,9,2,2,4,5,9
1736,喬山,2,8,2,2,0,3,9,3,9
1737,臺鹽,6,7,6,1,7,4,8,7,5
1742,台蠟,0,10,8,0,4,0,7,0,3
1752,南光,6,8,8,6,8,6,8,9,4
1760,寶齡富錦,4,9,6,8,5,4,10,0,3
1762,中化生,7,10,3,0,8,8,8,9,5
1773,勝一,9,10,2,5,9,10,7,5,4
1776,展宇,2,4,4,1,0,1,3,2,9
1777,生泰,8,6,8,0,10,8,8,8,3
1781,合世,0,5,7,9,0,0,4,0,9
1783,和康生,6,2,10,4,10,5,10,5,2
1784,訊聯,2,2,4,7,6,1,10,3,4
1785,光洋科,5,8,2,9,4,7,2,6,8
1786,科妍,7,4,3,9,10,6,10,4,2
1788,杏昌,7,9,5,2,6,9,6,7,7
1789,神隆,4,4,7,3,4,2,8,2,2
1795,美時,7,2,1,0,10,6,10,6,2
1796,金穎生技,0,9,5,0,9,0,8,6,3
1799,易威,0,3,1,0,0,0,10,0,1
1802,台玻,0,9,6,7,0,0,2,0,7
1805,寶徠,0,8,6,0,0,0,1,0,2
1806,冠軍,0,7,7,10,4,0,6,0,7
1808,潤隆,3,9,4,0,10,6,8,10,1
1809,中釉,0,6,6,9,0,0,3,0,7
1810,和成,1,5,6,7,0,1,6,0,8
1813,寶利徠,0,6,9,5,0,0,1,0,4
